"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"1u","desc","C1,C7,","0805C","libref","2","2","","",
"100n","desc","C2,C3,C4,C5,C9,C10,C11,C12,C13,C14,C15,","0805C","libref","2","11","","",
"22p","desc","C6,C8,","0805C","libref","2","2","","",
"1N4148","desc","D46,D42,D43,D22,D38,D37,D41,D36,D32,D33,D23,D31,D21,D19,D18,D17,D16,D29,D28,D27,D26,D14,D13,D12,D11,D30,D15,D10,D39,D34,D24,D56,D61,D66,D57,D62,D67,D53,D58,D63,D68,D55,D60,D65,D70,D69,D64,D59,D54,D49,D44,D52,D51,D47,D48,D50,D1,D2,D3,D4,D5,D6,D7,D8,D9,D40,D35,D45,D351,","0805D","libref","2","69","","",
"LED","desc","DW9,","0805D","libref","2","1","","",
"FUSE","desc","F1,","C_1206","libref","2","1","","",
"ATMEGA32U4","desc","IC1,","QFN-44-1EP_7x7mm_Pitch0.5mm","libref","60","1","","",
"WS2812B","desc","LED6,LED1,LED2,LED3,LED4,LED5,","LED_WS2812B-PLCC4","libref","4","6","","",
"DIL16","desc","P1,P2,","Hirose_FH12-16S-0.5SH_1x16-1MP_P0.50mm_Horizontal","libref","18","2","","",
"5.1k","desc","R1,R2,","R_0603","libref","2","2","","",
"22","desc","R10,R11,","0805R","libref","2","2","","",
"10k","desc","R12,R13,","0805R","libref","2","2","","",
"R","desc","R5,","0805R","libref","2","1","","",
"SW_PUSH","desc","SW1,","SW_SPST_EVPBF","libref","4","1","","",
"USBLC6-2SC6","desc","U1,","SOT-23-6","libref","6","1","","",
"ASX4","desc","X1,","4-SMD","libref","4","1","","",
"Through Hole Items ",
"VAL**","desc","HOLE,","PKRHC","libref","1","1","","",
"VAL**","desc","HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,HOLE,","PKRH","libref","1","49","","",
"VAL**","desc","HOLE,HOLE,","PKRHSL","libref","1","2","","",
"VAL**","desc","MXST,MXST,MXST,MXST,MXST,MXST,MXST,MXST,MXST,MXST,MXST,MXST,MXST,MXST,MXST,MXST,MXST,MXST,MXST,MXST,MXST,MXST,MXST,MXST,MXST,MXST,MXST,MXST,","MXST","libref","2","28","","",
"CONN_6","desc","P3,","Molex_MicroLatch-53253-0670_06x2.00mm_Straight","libref","6","1","","",
"MountingHole_2.5mm","desc","REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,","MountingHole_2.5mm","libref","1","34","","",
"MX1A","desc","S6,S54,S48,S8,S24,S19,S29,S49,S34,S36,S33,S59,S39,S28,S41,S55,S12,S13,S14,S16,S2,S7,S1,S61,S38,S31,S32,S37,S42,S46,S51,S22,S27,S47,S52,S57,S67,S18,S23,S11,S26,S56,S66,S17,S69,S5,S15,S30,S60,S65,S70,S43,S58,S68,S44,S10,S21,S62,S53,S3,S40,S4,S35,S45,","MX1A","libref","5","64","","",
"MX1A","desc","S7012,S302,S401,S511,S311,S682,S601,S641,S101,S552,S151,S301,S691,S661,S50,S681,S692,S64,S63,S9,S411,S402,S351,S352,S141,S191,S241,S291,S303,S341,S353,S391,S403,S412,S441,S491,S512,S541,S591,S602,S642,S651,S652,S693,S551,S451,S102,S152,S304,S553,S603,","MX1A_no3d","libref","5","51","","",
"USBTYPEC","desc","J1,","USB_C_Receptacle_Palconn_UTC16-G","libref","22","1","","",
