"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"DW9","0805D","3.78mm","52.8225mm","3.78mm","52.8225mm","3.78mm","51.87mm","T","90","LED",
"C1","0805C","18.11mm","75.22mm","18.11mm","75.22mm","19.0625mm","75.22mm","B","180","1u",
"C2","0805C","39.31mm","52.62mm","39.31mm","52.62mm","38.3575mm","52.62mm","B","0","100n",
"C3","0805C","20.51mm","49.72mm","20.51mm","49.72mm","20.51mm","48.7675mm","B","90","100n",
"C4","0805C","21.61mm","62.02mm","21.61mm","62.02mm","22.5625mm","62.02mm","B","180","100n",
"C5","0805C","39.31mm","59.22mm","39.31mm","59.22mm","38.3575mm","59.22mm","B","0","100n",
"C6","0805C","42.81mm","57.12mm","42.81mm","57.12mm","41.8575mm","57.12mm","B","0","22p",
"C7","0805C","26.01mm","73.42mm","26.01mm","73.42mm","26.01mm","72.4675mm","B","90","1u",
"C8","0805C","42.81mm","54.92mm","42.81mm","54.92mm","41.8575mm","54.92mm","B","0","22p",
"D1","0805D","11.27856mm","79.73324mm","11.27856mm","79.73324mm","10.32606mm","79.73324mm","B","0","1N4148",
"D10","0805D","39.71mm","6.22mm","39.71mm","6.22mm","38.7575mm","6.22mm","B","0","1N4148",
"D11","0805D","41.596mm","80.861mm","41.596mm","80.861mm","40.6435mm","80.861mm","B","0","1N4148",
"D12","0805D","51.38mm","61.9mm","51.38mm","61.9mm","50.4275mm","61.9mm","B","0","1N4148",
"D13","0805D","56.709mm","42.888mm","56.709mm","42.888mm","55.7565mm","42.888mm","B","0","1N4148",
"D14","0805D","44.7575mm","36.22mm","44.7575mm","36.22mm","43.805mm","36.22mm","B","0","1N4148",
"D15","0805D","63.7575mm","6.22mm","63.7575mm","6.22mm","62.805mm","6.22mm","B","0","1N4148",
"D16","0805D","60.392mm","80.734mm","60.392mm","80.734mm","59.4395mm","80.734mm","B","0","1N4148",
"D17","0805D","70.425mm","61.811mm","70.425mm","61.811mm","69.4725mm","61.811mm","B","0","1N4148",
"D18","0805D","74.87mm","42.888mm","74.87mm","42.888mm","73.9175mm","42.888mm","B","0","1N4148",
"D19","0805D","63.71mm","36.22mm","63.71mm","36.22mm","62.7575mm","36.22mm","B","0","1N4148",
"D2","0805D","9.06368mm","61.6586mm","9.06368mm","61.6586mm","8.11118mm","61.6586mm","B","0","1N4148",
"D21","0805D","79.823mm","80.861mm","79.823mm","80.861mm","78.8705mm","80.861mm","B","0","1N4148",
"D22","0805D","89.475mm","61.811mm","89.475mm","61.811mm","88.5225mm","61.811mm","B","0","1N4148",
"D23","0805D","94.428mm","42.888mm","94.428mm","42.888mm","93.4755mm","42.888mm","B","0","1N4148",
"D24","0805D","82.71mm","36.22mm","82.71mm","36.22mm","81.7575mm","36.22mm","B","0","1N4148",
"D26","0805D","98.96mm","80.97mm","98.96mm","80.97mm","98.0075mm","80.97mm","B","0","1N4148",
"D27","0805D","108.525mm","61.811mm","108.525mm","61.811mm","107.5725mm","61.811mm","B","0","1N4148",
"D28","0805D","113.097mm","42.888mm","113.097mm","42.888mm","112.1445mm","42.888mm","B","0","1N4148",
"D29","0805D","101.7575mm","36.22mm","101.7575mm","36.22mm","100.805mm","36.22mm","B","0","1N4148",
"D3","0805D","7.44824mm","42.888mm","7.44824mm","42.888mm","6.49574mm","42.888mm","B","0","1N4148",
"D30","0805D","87.7575mm","6.22mm","87.7575mm","6.22mm","86.805mm","6.22mm","B","0","1N4148",
"D31","0805D","118.431mm","80.861mm","118.431mm","80.861mm","117.4785mm","80.861mm","B","0","1N4148",
"D32","0805D","138.21mm","61.72mm","138.21mm","61.72mm","137.2575mm","61.72mm","B","0","1N4148",
"D33","0805D","143.2575mm","42.97mm","143.2575mm","42.97mm","142.305mm","42.97mm","B","0","1N4148",
"D34","0805D","122.5075mm","36.22mm","122.5075mm","36.22mm","121.555mm","36.22mm","B","0","1N4148",
"D35","0805D","113.71mm","6.22mm","113.71mm","6.22mm","112.7575mm","6.22mm","B","0","1N4148",
"D351","0805D","142.51mm","6.12mm","142.51mm","6.12mm","141.5575mm","6.12mm","B","0","1N4148",
"D36","0805D","148.0075mm","80.72mm","148.0075mm","80.72mm","147.055mm","80.72mm","B","0","1N4148",
"D37","0805D","146.625mm","61.811mm","146.625mm","61.811mm","145.6725mm","61.811mm","B","0","1N4148",
"D38","0805D","151.07mm","42.888mm","151.07mm","42.888mm","150.1175mm","42.888mm","B","0","1N4148",
"D39","0805D","147.21mm","36.22mm","147.21mm","36.22mm","146.2575mm","36.22mm","B","0","1N4148",
"D4","0805D","17.71mm","36.22mm","17.71mm","36.22mm","16.7575mm","36.22mm","B","0","1N4148",
"D40","0805D","159.71mm","6.14mm","159.71mm","6.14mm","158.7575mm","6.14mm","B","0","1N4148",
"D41","0805D","156.15mm","80.861mm","156.15mm","80.861mm","155.1975mm","80.861mm","B","0","1N4148",
"D42","0805D","165.675mm","61.811mm","165.675mm","61.811mm","164.7225mm","61.811mm","B","0","1N4148",
"D43","0805D","170.247mm","42.888mm","170.247mm","42.888mm","169.2945mm","42.888mm","B","0","1N4148",
"D44","0805D","158.71mm","36.22mm","158.71mm","36.22mm","157.7575mm","36.22mm","B","0","1N4148",
"D45","0805D","192.5625mm","6.22mm","192.5625mm","6.22mm","191.61mm","6.22mm","B","0","1N4148",
"D46","0805D","175.581mm","80.861mm","175.581mm","80.861mm","174.6285mm","80.861mm","B","0","1N4148",
"D47","0805D","184.598mm","61.811mm","184.598mm","61.811mm","183.6455mm","61.811mm","B","0","1N4148",
"D48","0805D","189.043mm","42.888mm","189.043mm","42.888mm","188.0905mm","42.888mm","B","0","1N4148",
"D49","0805D","177.71mm","36.22mm","177.71mm","36.22mm","176.7575mm","36.22mm","B","0","1N4148",
"D5","0805D","7.31mm","6.22mm","7.31mm","6.22mm","6.3575mm","6.22mm","B","0","1N4148",
"D50","0805D","269.688mm","80.861mm","269.688mm","80.861mm","268.7355mm","80.861mm","B","0","1N4148",
"D51","0805D","193.742mm","80.861mm","193.742mm","80.861mm","192.7895mm","80.861mm","B","0","1N4148",
"D52","0805D","203.902mm","61.811mm","203.902mm","61.811mm","202.9495mm","61.811mm","B","0","1N4148",
"D53","0805D","208.093mm","42.888mm","208.093mm","42.888mm","207.1405mm","42.888mm","B","0","1N4148",
"D54","0805D","196.7575mm","36.22mm","196.7575mm","36.22mm","195.805mm","36.22mm","B","0","1N4148",
"D55","0805D","207.21mm","6.22mm","207.21mm","6.22mm","206.2575mm","6.22mm","B","0","1N4148",
"D56","0805D","212.919mm","80.861mm","212.919mm","80.861mm","211.9665mm","80.861mm","B","0","1N4148",
"D57","0805D","222.825mm","61.811mm","222.825mm","61.811mm","221.8725mm","61.811mm","B","0","1N4148",
"D58","0805D","226.889mm","43.015mm","226.889mm","43.015mm","225.9365mm","43.015mm","B","0","1N4148",
"D59","0805D","215.7575mm","36.22mm","215.7575mm","36.22mm","214.805mm","36.22mm","B","0","1N4148",
"D6","0805D","34.2575mm","79.62mm","34.2575mm","79.62mm","33.305mm","79.62mm","B","0","1N4148",
"D60","0805D","218.71mm","6.22mm","218.71mm","6.22mm","217.7575mm","6.22mm","B","0","1N4148",
"D61","0805D","231.969mm","80.861mm","231.969mm","80.861mm","231.0165mm","80.861mm","B","0","1N4148",
"D62","0805D","241.748mm","61.811mm","241.748mm","61.811mm","240.7955mm","61.811mm","B","0","1N4148",
"D63","0805D","245.431mm","43.015mm","245.431mm","43.015mm","244.4785mm","43.015mm","B","0","1N4148",
"D64","0805D","234.7575mm","36.22mm","234.7575mm","36.22mm","233.805mm","36.22mm","B","0","1N4148",
"D65","0805D","244.71mm","6.22mm","244.71mm","6.22mm","243.7575mm","6.22mm","B","0","1N4148",
"D66","0805D","251.019mm","80.861mm","251.019mm","80.861mm","250.0665mm","80.861mm","B","0","1N4148",
"D67","0805D","263.512mm","61.811mm","263.512mm","61.811mm","262.5595mm","61.811mm","B","0","1N4148",
"D68","0805D","257.242mm","43.015mm","257.242mm","43.015mm","256.2895mm","43.015mm","B","0","1N4148",
"D69","0805D","257.7575mm","36.22mm","257.7575mm","36.22mm","256.805mm","36.22mm","B","0","1N4148",
"D7","0805D","44.6575mm","61.9mm","44.6575mm","61.9mm","43.705mm","61.9mm","B","0","1N4148",
"D70","0805D","266.6625mm","6.22mm","266.6625mm","6.22mm","265.71mm","6.22mm","B","0","1N4148",
"D8","0805D","38.80708mm","42.82958mm","38.80708mm","42.82958mm","37.85458mm","42.82958mm","B","0","1N4148",
"D9","0805D","24.138mm","36.22mm","24.138mm","36.22mm","23.1855mm","36.22mm","B","0","1N4148",
"DW1","0805D","152.594mm","75.146mm","152.594mm","75.146mm","153.5465mm","75.146mm","B","180","LED",
"DW2","0805D","264.6715mm","17.996mm","264.6715mm","17.996mm","265.624mm","17.996mm","B","180","LED",
"DW3","0805D","205.2175mm","17.91mm","205.2175mm","17.91mm","204.265mm","17.91mm","B","0","LED",
"DW4","0805D","259.0835mm","75.146mm","259.0835mm","75.146mm","258.131mm","75.146mm","B","0","LED",
"DW5","0805D","97.1445mm","75.146mm","97.1445mm","75.146mm","98.097mm","75.146mm","B","180","LED",
"DW6","0805D","18.736mm","17.996mm","18.736mm","17.996mm","17.7835mm","17.996mm","B","0","LED",
"DW7","0805D","33.31mm","75.32mm","33.31mm","75.32mm","34.2625mm","75.32mm","B","180","LED",
"DW8","0805D","65.1mm","18.0mm","65.1mm","18.0mm","64.1475mm","18.0mm","B","0","LED",
"IC1","TQFP44","28.81mm","54.52mm","28.81mm","54.52mm","24.8095mm","60.235mm","B","270","ATMEGA32U4",
"P1","Hirose_FH12-16S-0.5SH_1x16-1MP_P0.50mm_Horizontal","57.89016mm","21.552mm","57.89016mm","21.552mm","56.04016mm","25.302mm","B","270","DIL16",
"P2","Hirose_FH12-16S-0.5SH_1x16-1MP_P0.50mm_Horizontal","194.00916mm","21.552mm","194.00916mm","21.552mm","195.85916mm","17.802mm","B","90","DIL16",
"R1","0805R","93.144mm","75.146mm","93.144mm","75.146mm","92.1915mm","75.146mm","B","0","R",
"R10","0805R","17.41mm","84.0675mm","17.41mm","84.0675mm","17.41mm","85.02mm","B","270","22",
"R11","0805R","19.21mm","84.0675mm","19.21mm","84.0675mm","19.21mm","83.115mm","B","90","22",
"R12","0805R","21.91mm","43.7675mm","21.91mm","43.7675mm","21.91mm","42.815mm","B","90","10k",
"R13","0805R","27.51mm","40.92mm","27.51mm","40.92mm","28.4625mm","40.92mm","B","180","10k",
"R2","0805D","22.8mm","17.996mm","22.8mm","17.996mm","23.7525mm","17.996mm","B","180","R",
"R3","0805R","29.81mm","75.22mm","29.81mm","75.22mm","28.8575mm","75.22mm","B","0","R",
"R4","0805D","69.1325mm","18.02mm","69.1325mm","18.02mm","70.085mm","18.02mm","B","180","R",
